File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\buildConfig\debug\com\example\randy\sample\BuildConfig.java,14,9,8,0,2,0,3,9,3,9
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\arch\core\R.java,11,3,2,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\arch\lifecycle\R.java,11,3,2,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\arch\lifecycle\livedata\core\R.java,11,3,2,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\arch\lifecycle\viewmodel\R.java,11,3,2,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\asynclayoutinflater\R.java,162,154,148,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\compat\R.java,162,154,148,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\constraint\R.java,233,225,225,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\coordinatorlayout\R.java,190,182,178,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\coreui\R.java,190,182,178,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\coreutils\R.java,162,154,148,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\cursoradapter\R.java,11,3,2,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\customview\R.java,162,154,148,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\documentfile\R.java,11,3,2,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\drawerlayout\R.java,162,154,148,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\fragment\R.java,190,182,178,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\graphics\drawable\R.java,190,182,178,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\interpolator\R.java,11,3,2,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\loader\R.java,162,154,148,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\localbroadcastmanager\R.java,11,3,2,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\print\R.java,11,3,2,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\slidingpanelayout\R.java,162,154,148,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\swiperefreshlayout\R.java,162,154,148,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\v7\appcompat\R.java,1612,1604,1635,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\v7\viewpager\R.java,162,154,148,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\androidx\versionedparcelable\R.java,11,3,2,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\com\example\randy\sample\R.java,12849,2268,2094,0,2,0,10579,48431,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\src\androidTest\java\com\example\randy\sample\ExampleInstrumentedTest.java,27,15,11,0,6,0,6,24,0,0
C:\Users\randy\AndroidStudioProjects\sample\app\src\main\java\com\example\randy\sample\AddEmployee.java,260,197,162,10,63,1,0,11,0,0
C:\Users\randy\AndroidStudioProjects\sample\app\src\main\java\com\example\randy\sample\AssignRoles.java,104,80,66,1,24,1,0,8,0,0
C:\Users\randy\AndroidStudioProjects\sample\app\src\main\java\com\example\randy\sample\AssignTasks.java,324,237,197,4,85,9,2,72,0,0
