Word,Count
*,9761
the,2797
a,1729
be,1619
in,1574
{@link,1100
,955
<p>May,854
form,826
is,769
or,613
can,597
found,576
value,553
@see,552
name,551
where,551
offset,550
array,550
<p>This,550
@attr,550
<tr><td><code>{@link,550
attribute's,550
symbol,550
/>,514
<colgroup,514
\align="\left"\\,514
\value,\,480
to,476
as,403
such,402
another,375
attribute,374
\"\<code>@[+][<i>package</i>:]<i>type</i>/<i>name</i></code>"\\,374
theme,374
\"\<code>?[<i>package</i>:]<i>type</i>/<i>name</i></code>"\\,374
reference,374
\resource,\,374
with,251
floating,247
point,247
of,243
number,206
which,205
appended,203
on,192
and,191
based,189
unit,189
units,188
(millimeters),188
px,188
\size),\,188
(density-independent,188
\(inches),\,188
\pixels),\,188
font,188
mm,188
Available,188
are:,188
\(pixels),\,188
\"\<code>14.5sp</code>"\\,188
sp,188
dp,188
pixels,188
preferred,188
dimension,188
(scaled,188
</table>,187
following,187
<table>,187
one,144
values.</p>,140
constant,140
<tr><th>Constant</th><th>Value</th><th>Description</th></tr>,140
<p>Must,140
#AppCompatTheme},121
for,80
\"\<code>#<i>rgb</i></code>"\,\,78
\"\<code>#<i>argb</i></code>"\,\,78
by,78
color,78
\"\<code>#<i>aarrggbb</i></code>"\\,78
\"\<code>#<i>rrggbb</i></code>"\,\,78
#ConstraintSet},72
\"\<code>true</code>"\\,65
boolean,65
\"\<code>false</code>"\\,65
#ConstraintLayout_Layout},60
that,58
string,57
'\\n',55
characters,55
escape,55
using,55
unicode,55
character;,55
'\\;',55
'\\uxxxx',55
from,49
used,47
<tr><th>Attribute</th><th>Description</th></tr>,47
Attributes,47
attributes:</p>,47
<p>Includes,47
\"\<code>1.2</code>"\\,44
<tr><td>parent</td><td>0</td><td></td></tr>,39
an,36
integer,35
\"\<code>100</code>"\\,35
not,34
it,33
was,30
%,30
suffix,30
#Toolbar},29
#ActionBar},29
class,29
MODIFY,27
DO,27
NOT,27
generated,27
AUTO-GENERATED,26
automatically,26
'|'),26
should,26
This,26
hand,26
FILE,26
data,26
It,26
modified,26
more,26
resource,26
(separated,26
plugin,25
getting,25
gradle,25
#MenuItem},23
#SearchView},17
database,16
base,15
relative,15
size;,15
\"\<code>14.5%</code>"\\,15
provides,15
always,15
\%p,\,15
means,15
some,15
fractional,15
parent,15
percentage,15
either,15
container,15
%p,15
size,15
The,15
optional,15
<tr><td>multiply</td><td>e</td><td></td></tr>,14
<tr><td>src_in</td><td>5</td><td></td></tr>,14
#SwitchCompat},14
<tr><td>screen</td><td>f</td><td></td></tr>,14
task,14
<tr><td>none</td><td>0</td><td></td></tr>,14
<tr><td>src_atop</td><td>9</td><td></td></tr>,14
<tr><td>src_over</td><td>3</td><td></td></tr>,14
<tr><td>add</td><td>10</td><td></td></tr>,14
date,13
#TextAppearance},13
<tr><td>bottom</td><td>50</td><td></td></tr>,13
<tr><td>top</td><td>30</td><td></td></tr>,13
#GradientColor},12
<tr><td>wrap</td><td>fffffffe</td><td></td></tr>,12
<tr><td>spread</td><td>0</td><td></td></tr>,12
\"\\,12
<tr><td>start</td><td>800003</td><td></td></tr>,11
pay,11
#AppCompatTextView},11
<tr><td>end</td><td>800005</td><td></td></tr>,11
<tr><td>left</td><td>3</td><td></td></tr>,11
<tr><td>right</td><td>5</td><td></td></tr>,11
#FontFamilyFont},10
adding,10
employee,10
if,9
#MenuView},9
#LinearLayoutCompat},9
day,9
all,8
#DrawerArrowToggle},8
<tr><td>normal</td><td>0</td><td></td></tr>,8
#AlertDialog},8
+,8
time,8
<tr><td>center_horizontal</td><td>1</td><td></td></tr>,7
<tr><td>center</td><td>11</td><td></td></tr>,7
schedule,7
<tr><td>fill_vertical</td><td>70</td><td></td></tr>,7
<tr><td>fill</td><td>77</td><td></td></tr>,7
<tr><td>clip_vertical</td><td>80</td><td></td></tr>,7
#CoordinatorLayout_Layout},7
employees,7
<tr><td>fill_horizontal</td><td>7</td><td></td></tr>,7
<tr><td>clip_horizontal</td><td>8</td><td></td></tr>,7
values,7
dialog,7
#AppCompatTextHelper},7
displaying,7
<tr><td>center_vertical</td><td>10</td><td></td></tr>,7
making,6
weeks,6
<tr><td>wrap</td><td>1</td><td></td></tr>,6
<tr><td>percent</td><td>2</td><td></td></tr>,6
#AnimatedStateListDrawableCompat},6
#FontFamily},6
#MenuGroup},6
text,6
<tr><td>spread_inside</td><td>1</td><td></td></tr>,6
<tr><td>packed</td><td>2</td><td></td></tr>,6
#StateListDrawable},6
setting,6
into,6
#ActionMode},6
android:id}</code></td><td></td></tr>,5
at,5
<tr><td>match_parent</td><td>ffffffff</td><td></td></tr>,5
android:id,5
FILLING,5
new,5
#View},5
double,5
tasks,5
#Spinner},5
<tr><td>wrap_content</td><td>fffffffe</td><td></td></tr>,5
method,5
Cursor,5
LIST,5
=,5
<tr><td>fill_parent</td><td>ffffffff</td><td></td></tr>,5
android.R.attr#id},5
clicked,5
have,4
answered,4
android:visible,4
String,4
<tr><td>FUNCTION</td><td>8</td><td></td></tr>,4
NEW,4
#AppCompatImageView},4
#AnimatedStateListDrawableTransition},4
CALCULATING,4
android:orientation}</code></td><td></td></tr>,4
editText,4
<tr><td>SHIFT</td><td>1</td><td></td></tr>,4
android:orientation,4
#AppCompatSeekBar},4
will,4
#LinearLayoutCompat_Layout},4
item,4
TO,4
<tr><td>vertical</td><td>1</td><td></td></tr>,4
TIME,4
0,4
<tr><td>CTRL</td><td>1000</td><td></td></tr>,4
android.R.attr#visible},4
android.R.attr#orientation},4
<tr><td>META</td><td>10000</td><td></td></tr>,4
<tr><td>horizontal</td><td>0</td><td></td></tr>,4
work,4
page,4
android:visible}</code></td><td></td></tr>,4
<tr><td>ALT</td><td>2</td><td></td></tr>,4
<tr><td>SYM</td><td>4</td><td></td></tr>,4
password,4
been,4
<tr><td>italic</td><td>1</td><td></td></tr>,3
are,3
FOR,3
finished,3
com.example.randy.sample:popupTheme}</code></td><td></td></tr>,3
#ViewBackgroundHelper},3
year,3
AddEmployee,3
rows,3
requests,3
#ViewStubCompat},3
#PopupWindow},3
converting,3
worked,3
android.R.attr#drawable},3
#ColorStateListItem},3
android:layout_gravity,3
