Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,51,21300,9334,8621,149,1166,94,10800,50224,159,841
C:\Users\randy\AndroidStudioProjects\sample\app,51,21300,9334,8621,149,1166,94,10800,50224,159,841
C:\Users\randy\AndroidStudioProjects\sample\app\build,27,17036,6250,6026,0,54,0,10732,49240,159,841
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated,27,17036,6250,6026,0,54,0,10732,49240,159,841
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source,27,17036,6250,6026,0,54,0,10732,49240,159,841
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\buildConfig,1,14,9,8,0,2,0,3,9,3,9
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\buildConfig\debug,1,14,9,8,0,2,0,3,9,3,9
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\buildConfig\debug\com,1,14,9,8,0,2,0,3,9,3,9
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\buildConfig\debug\com\example,1,14,9,8,0,2,0,3,9,3,9
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\buildConfig\debug\com\example\randy,1,14,9,8,0,2,0,3,9,3,9
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\buildConfig\debug\com\example\randy\sample,1,14,9,8,0,2,0,3,9,3,9
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r,26,17022,6241,6018,0,52,0,10729,49231,156,832
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug,26,17022,6241,6018,0,52,0,10729,49231,156,832
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android,24,4162,3970,3922,0,48,0,144,768,144,768
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\arch,4,44,12,8,0,8,0,24,128,24,128
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\arch\core,1,11,3,2,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\arch\lifecycle,3,33,9,6,0,6,0,18,96,18,96
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\arch\lifecycle\livedata,1,11,3,2,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\arch\lifecycle\livedata\core,1,11,3,2,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\arch\lifecycle\viewmodel,1,11,3,2,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support,20,4118,3958,3914,0,40,0,120,640,120,640
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\asynclayoutinflater,1,162,154,148,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\compat,1,162,154,148,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\constraint,1,233,225,225,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\coordinatorlayout,1,190,182,178,0,2,0,6,32,6,32
C:\Users\randy\AndroidStudioProjects\sample\app\build\generated\source\r\debug\android\support\coreui,1,190,182,178,0,2,0,6,32,6,32
