Word,Count
the,52
to,32
getting,25
for,25
from,23
is,16
database,16
task,14
date,13
a,13
\"\\,12
pay,11
that,11
employee,10
of,10
in,10
adding,10
if,9
day,9
*,8
+,8
time,8
not,8
all,8
dialog,7
displaying,7
it,7
values,7
schedule,7
employees,7
text,6
setting,6
into,6
weeks,6
making,6
clicked,5
tasks,5
method,5
at,5
new,5
double,5
LIST,5
FILLING,5
Cursor,5
=,5
work,4
have,4
0,4
TO,4
was,4
editText,4
item,4
String,4
been,4
NEW,4
answered,4
CALCULATING,4
one,4
password,4
on,4
will,4
page,4
TIME,4
and,3
are,3
rows,3
FOR,3
year,3
list,3
off,3
putting,3
DAYS,3
WORKED,3
add,3
AddEmployee,3
finished,3
converting,3
requests,3
1,3
worked,3
box,3
class,3
number,3
week,3
value,3
\href="\http://d.android.com/tools/testing"\>Testing\,2
<a,2
refreshing,2
days,2
execute,2
passed,2
\day,\,2
weekly,2
@see,2
',2
instance,2
table,2
recently,2
updating,2
EditText,2
END,2
request,2
position,2
databse,2
formatting,2
public,2
edit,2
TRY,2
has,2
UNIVERSAL,2
corresponding,2
notification,2
adapter.notifyDataSetChanged();,2
object,2
so,2
sends,2
header,2
string,2
completed,2
},2
up,2
\test,\,2
todays,2
cursor,2
assigned,2
inside,2
total,2
LATER,2
timeWorked,2
ARRAY,2
correct,2
present,2
makes,2
refreshes,2
which,2
answer,2
there,2
PAY,2
now,2
when,2
,2
current,2
2,2
MAKE,2
void,2
pop,2
confirm,2
pressed,2
documentation</a>,2
format,2
adapter,2
most,2
be,2
employeeID,2
ON,2
name,1
user,1
begin,1
+PayLogs.getString(1),1
sure,1
tableRows,1
\finished,\,1
payrate,1
question,1
//if,1
unit,1
get,1
app,1
dayOffRequests(View,1
currently,1
list.setAdapter(adapter);,1
left,1
main,1
null);,1
TESTING!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1
replaced,1
as,1
machine,1
original,1
\cursor,\,1
taskArray.add(tasksWithInfo.getString(2),1
populating,1
startDate,1
resetting,1
do{,1
were,1
every,1
places,1
visible,1
enter,1
payList,1
actually,1
selected,1
//TEST,1
prompting,1
tasksWithInfo.getString(3),1
zero,1
PayLogs.getString(3));,1
today,1
Example,1
under,1
nextPayDate,1
turning,1
\Intent(this,\,1
!=,1
based,1
taskArray,1
\"\Day\,1
startActivity(new,1
Time,1
monday,1
BACK,1
whatever,1
wednesday,1
taskArray);,1
whole,1
tasksWithInfo.moveToFirst()){,1
role,1
(tasksWithInfo.moveToNext());,1
development,1
\employeeid,\,1
DayOffRequests.class));,1
saturday,1
&&,1
know,1
SHIFTS,1
\list,\,1
yes,1
added,1
why,1
notificaiton,1
v){,1
if(tasksWithInfo,1
notifications,1
adds,1
AFTER,1
originally,1
hourly,1
(host),1
except,1
them,1
given,1
shift,1
friday,1
populateTasks(DatabaseHelper,1
how,1
no,1
decreases,1
rounding,1
two,1
clockInButton,1
local,1
same,1
manager,1
logInBuilder,1
tasksWithInfo,1
least,1
\R.layout.customlistview,\,1
myDB.getTasksForEmployee(employeeID);,1
calendar,1
gettting,1
calculating,1
since,1
}while,1
ONLY,1
\id,\,1
7,1
null,1
secondary,1
\name,\,1
device,1
return,1
decimal,1
information,1
info,1
global,1
HOURS,1
string\,1
gets,1
TASK,1
working,1
they,1
THE,1
tuesday,1
Android,1
headerRow,1
PROVE,1
ListView,1
//making,1
another,1
logs,1
thursday,1
closes,1
with,1
CHANGE,1
an,1
input,1
views,1
passing,1
\Objects.toString(hoursWorked,\,1
tw,1
initial,1
represents,1
THESE,1
TABLE_NAME,1
next,1
parameter,1
letting,1
employeeID){,1
Instrumented,1
\ArrayAdapter(getApplication(),\,1
\answer,\,1
still,1
sending,1
coloring,1
clockOutButton,1
display,1
certain,1
view,1
borders,1
inserting,1
where,1
taskArray.add(headerRow);,1
test,1
sunday,1
\task,\,1
put,1
PayLogs.getString(2)+,1
splitting,1
tableLayout,1
today's,1
WORKS,1
listView,1
seens,1
earned,1
hoursWorked,1
row,1
back,1
startdate,1
elements,1
background,1
isnt,1
TESTING,1
METHOD,1
confirming,1
3600000;,1
rate,1
tasksWithInfo.getString(0));,1
//getting,1
unread,1
stays,1
\today.add(Calendar.DAY_OF_YEAR,\,1
\Task"\;\,1
/,1
variable,1
many,1
yet,1
employeeSeenNotification,1
\time,\,1
this,1
last,1
Context,1
2);,1
set,1
admin,1
insert,1
assignment,1
hours,1
Hours_Worked,1
due,1
updated,1
starting,1
employes,1
until,1
payArray.add(PayLogs.getString(0),1
while,1
\myDB,\,1
wage,1
